`职务,地区,公司名字,薪资,经验,公司类型,公司福利
物业工程技工,福州·鼓楼区·津泰路,新投怡家园,4-6K,经验不限学历不限,物业服务,提供住宿，年终奖，带薪年假，加班补助，节日福利，五险一金
档案文员,福州·鼓楼区·鼓西,中科讯,3-5K,经验不限大专,数据服务,年终奖，通讯补贴，带薪年假，全勤奖，节日福利，五险一金
台江区飞姐饮品店招聘服务员,福州·台江区·中亭街,台江区飞姐饮品店,5-8K,1年以内学历不限,食品/饮料/烟酒,
托管老师,福州·马尾区·东方名城,金晶贝尔,3-5K,经验不限大专,在线教育,
项目申报专员,福州·鼓楼区·五四路,麒尔科技,3-7K·13薪,经验不限本科,其他行业,
招残疾普工、统计文员,福州,云众动力,3-5K,经验不限学历不限,电子/半导体/集成电路,补充医疗保险，节日福利，加班补助，餐补，五险一金，员工旅游，带薪年假，年终奖，全勤奖
中级硬件工程师,福州,福州昱新,7-10K,1-3年大专,电子/半导体/集成电路,年终奖，加班补助，全勤奖，节日福利，五险一金，带薪年假，员工旅游，股票期权
朴朴招聘陈列员,福州·鼓楼区·温泉路,朴朴,5-9K·13薪,经验不限学历不限,互联网,年终奖，团建经费，股票期权，定期体检，节日福利，带薪年假
安防监控技术员,福州·晋安区·福兴投资区,盛辉物流,4-8K,1-3年中专/中技,交通/运输,高温补贴，带薪培训，员工旅游，补充医疗保险，提供食宿，年终奖，五险，节日福利
招商专员,福州·仓山区·金山,福大自动化,6-8K,经验不限本科,贸易/进出口,加班补助，试用期一对一，年终奖，带薪年假，节日福利
3D建模师,福州·仓山区·金山浦上工业区,兜乐科技,6-11K·13薪,1-3年大专,移动互联网,餐补，节日福利，加班补助，年终奖，零食下午茶，交通补助，全勤奖，五险一金，股票期权
OMS/ERP初级实施顾问,福州·台江区·台江万达,上海百胜软件,10-15K,3-5年本科,计算机软件,员工旅游，全勤奖，定期体检，零食下午茶，带薪年假，股票期权，五险一金，年终奖，节日福利
